question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
1,single,賃貸住宅管理業法,管理業務;重要事項説明,賃貸住宅管理業者が管理受託契約を締結しようとする場合の重要事項説明に関する次の記述のうち、最も不適切なものはどれか。,,,,,,重要事項説明は、管理受託契約の締結前に行う必要がある。,説明すべき事項を記載した書面を交付すれば、相手方から特段の承諾がない場合でも、説明自体を省略することができる。,管理業務の内容及び実施方法は、重要事項として説明すべき事項に含まれる。,報酬の額及び支払時期は、重要事項として説明すべき事項に含まれる。,2,書面の交付だけで当然に説明を省略できるわけではないため、選択肢2が最も不適切です。
2,single,賃貸住宅管理業法,登録制度;管理戸数,賃貸住宅管理業の登録に関する次の記述のうち、最も不適切なものはどれか。,,,,,,賃貸住宅管理業を営もうとする者で管理戸数が200戸以上であるものは、原則として国土交通大臣の登録を受ける必要がある。,管理戸数が200戸未満の事業者であっても、任意に登録を受けることができる。,自己の所有する賃貸住宅のみを管理する場合、その住宅は登録義務の判断における管理戸数から除かれる。,家賃や敷金などの金銭管理のみを行い、賃貸住宅の維持保全を行わない事業も、当然に賃貸住宅管理業に該当する。,4,賃貸住宅管理業は、賃貸住宅の維持保全を行う業務等を対象とするため、金銭管理のみを行う事業が当然に該当するわけではありません。
3,single,賃貸住宅管理業法,業務管理者;事務所,業務管理者に関する次の記述のうち、正しいものはどれか。,,,,,,賃貸住宅管理業者は、営業所又は事務所ごとに業務管理者を1名以上配置しなければならない。,業務管理者は、本店に1名配置すればすべての営業所を兼務できる。,管理受託契約の重要事項説明は、必ず業務管理者本人が行わなければならない。,業務管理者は、賃貸住宅管理業者が任意に選んだ者であれば資格や経験の要件を問われない。,1,業務管理者は営業所又は事務所ごとに1名以上配置する必要があります。重要事項説明を業務管理者本人が行うことまでは必須とされていません。
4,single,賃貸住宅管理業法,重要事項説明;契約締結時書面,管理受託契約に係る重要事項説明書と契約締結時書面に関する次の記述のうち、最も不適切なものはどれか。,,,,,,重要事項説明書は、管理受託契約の締結に先立って交付される書面である。,契約締結時書面は、管理受託契約の成立後に交付される書面である。,重要事項説明書と契約締結時書面は交付時期が異なるため、両者を当然に一体の書面として交付することはできない。,重要事項説明書に記載した事項は、契約締結時書面には一切記載してはならない。,4,重要事項説明書と契約締結時書面は交付時期や役割が異なりますが、同じ事項が契約内容として契約締結時書面に記載されることはあります。
5,single,賃貸住宅管理業法,再委託;管理業務,賃貸住宅管理業者による管理業務の再委託に関する次の記述のうち、正しいものはどれか。,,,,,,管理業務の全部を他の者に再委託することは許されない。,管理業務の一部であっても、再委託は一切認められない。,管理業務の全部を再委託する場合でも、委託者の承諾があれば常に許される。,再委託先が登録業者であれば、賃貸住宅管理業者は再委託先の業務について責任を負わない。,1,賃貸住宅管理業法では、管理業務の全部を他の者に再委託することは禁止されています。一部再委託まで一律に禁止されるわけではありません。
6,single,賃貸住宅管理業法,財産の分別管理;家賃等,賃貸住宅管理業者による財産の分別管理に関する次の記述のうち、最も不適切なものはどれか。,,,,,,管理する家賃等は、自己の固有の財産と分別して管理しなければならない。,分別管理の趣旨は、委託者に帰属すべき金銭と管理業者自身の財産が混同されることを防ぐ点にある。,賃貸住宅管理業者が受領した敷金等も、管理対象となる金銭に含まれ得る。,帳簿上で内訳を把握していれば、自己資金と同一口座で混同して管理しても常に問題はない。,4,家賃等は自己の固有財産と分別して管理する必要があります。帳簿で内訳を把握しているだけで常に足りるとはいえません。
7,single,賃貸住宅管理業法,定期報告;委託者,賃貸住宅管理業者の定期報告に関する次の記述のうち、正しいものはどれか。,,,,,,賃貸住宅管理業者は、管理業務の実施状況等について、管理受託契約の相手方に対して定期的に報告しなければならない。,定期報告は入居者に対してのみ行えば足り、委託者に対して行う必要はない。,管理業務が適切に行われている場合には、契約期間中の定期報告は一切不要である。,定期報告の対象は、賃貸住宅管理業者の広告活動の実績に限られる。,1,賃貸住宅管理業者は、業務の実施状況等について管理受託契約の相手方である委託者に定期的に報告する義務があります。
8,single,賃貸住宅管理業法,特定賃貸借契約;誇大広告,特定賃貸借契約に係る広告や勧誘に関する次の記述のうち、最も不適切なものはどれか。,,,,,,将来の家賃収入について、リスクを無視して確実に保証されるかのように表示することは問題となり得る。,サブリース業者は、特定賃貸借契約の相手方となろうとする者に対して、不当な勧誘等をしてはならない。,特定賃貸借契約に関する広告では、賃料減額の可能性など重要なリスクを適切に示す必要がある。,広告に小さく注意書きを入れてさえいれば、本文で事実と異なる有利な条件を強調しても誇大広告にはならない。,4,注意書きの有無だけで判断されるものではありません。相手方に誤認を生じさせるような表示は誇大広告として問題となり得ます。
9,single,賃貸住宅管理業法,特定賃貸借契約;重要事項説明,特定賃貸借契約の締結前の重要事項説明に関する次の記述のうち、正しいものはどれか。,,,,,,特定賃貸借契約を締結しようとする場合、契約締結前に重要事項を説明する必要がある。,特定賃貸借契約では、相手方が賃貸経営の経験者であれば重要事項説明は常に不要である。,重要事項説明では、契約期間や家賃改定に関する事項を説明対象から除外できる。,説明書面を交付すれば、相手方の理解を考慮せず直ちに契約を締結しなければならない。,1,特定賃貸借契約では、契約締結前の重要事項説明が義務付けられています。相手方の経験だけで当然に不要になるものではありません。
10,single,賃貸住宅管理業法,電磁的方法;承諾,重要事項説明書等の電磁的方法による提供に関する次の記述のうち、最も不適切なものはどれか。,,,,,,一定の書面については、相手方の承諾を得て電磁的方法により提供できる場合がある。,電磁的方法による提供を行う場合でも、相手方が内容を確認できる状態にする必要がある。,相手方の承諾がない場合でも、管理業者の事務効率を理由として当然に電磁的方法による提供に切り替えることができる。,電磁的方法を用いる場合には、後日の確認ができるよう提供内容や提供方法に注意する必要がある。,3,電磁的方法による提供には相手方の承諾が必要となる場面があります。事務効率だけを理由に当然に切り替えられるわけではありません。
11,single,賃貸住宅管理業法,管理業務;維持保全,賃貸住宅管理業法における賃貸住宅管理業の対象に関する次の記述のうち、正しいものはどれか。,,,,,,賃貸住宅の維持保全を行う業務は、賃貸住宅管理業の対象となる管理業務に含まれる。,入居者募集の広告だけを行う事業は、当然に賃貸住宅管理業に該当する。,家賃の集金だけを単独で行い、維持保全を行わない事業は、常に賃貸住宅管理業に該当する。,賃貸住宅管理業法は、賃貸住宅ではなく事業用ビルの管理のみを対象としている。,1,賃貸住宅管理業の中心となる管理業務には、賃貸住宅の維持保全が含まれます。金銭管理のみや広告のみが当然に該当するわけではありません。
12,single,賃貸住宅管理業法,登録制度;管理戸数,賃貸住宅管理業の登録に関する次の記述のうち、正しいものはどれか。,"","","","","",管理戸数が200戸以上の賃貸住宅管理業者は、原則として国土交通大臣の登録を受ける必要がある。,管理戸数が1戸でもある事業者は、例外なく登録を受けなければならない。,管理戸数が200戸未満の事業者は、任意登録を受けることもできない。,自己所有物件のみを管理する場合でも、常に登録義務の対象となる。,1,登録義務は原則として管理戸数200戸以上の場合に問題となり、200戸未満でも任意登録は可能です。
